	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
1433Z	10.59701102	10.4875093	3.376216502	2.832362516	11.85958952	1.307677104	9.844092423	12.50255149	9.354581236	10.36556194	3.224664234	11.31812529
RPTN	3.63066857	9.116153151	10.47044449	8.260232364	11.61627747	10.98283019	11.99969077	11.21001704	2.448549528	3.61128586	2.798538486	13.86830539
KTDAP	12.37256147	12.79193904	11.77361751	9.22321764	11.31742977	11.75825594	1.307677104	8.861317463	3.197562257	10.23209867	3.71660817	13.00643969
LEG1H	3.836121449	7.346092647	3.581020933	2.642303456	2.006072899	2.116159092	2.709086655	3.219779621	5.833288622	16.3211183	8.243363899	2.740933516
ODO1	10.89567212	11.99091941	12.11901884	11.0848027	10.89863775	12.05543394	9.668684235	11.63649298	2.883909261	11.13193243	2.958179789	1.307677104
6PGD	5.642959718	9.512081514	10.0898406	6.935300896	7.272075263	10.27633185	2.13748346	13.26379717	12.47092952	11.46752362	2.798538486	1.307677104
RS25	1.307677104	10.76350616	2.638077196	10.92018728	10.24556597	11.40705393	2.13748346	2.828232304	6.943735088	1.307677104	3.87160932	7.868995052
RL31	11.18403549	2.09646585	7.855059602	9.572509569	10.41702464	10.92656966	10.72439398	9.876958274	1.307677104	10.18230826	11.99701373	1.307677104
RLA0	13.93324429	13.77153865	13.58412144	13.33498324	12.81025925	14.09770333	11.59301919	8.784509327	2.688353455	12.9477857	3.631860602	14.05333742
CD63	10.55667912	2.09646585	10.69736115	1.307677104	2.667274104	7.230141712	10.03560294	2.211898723	11.02661782	10.36449925	3.224664234	9.698900418
RL37A	10.3093469	2.832942904	11.99731351	9.546423231	1.307677104	1.307677104	10.5723807	9.8010023	3.050922541	5.712445836	3.098691955	9.484305572
RL37P	10.3093469	2.832942904	11.99731351	9.546423231	1.307677104	1.307677104	10.5723807	9.8010023	3.050922541	5.712445836	3.098691955	9.484305572
GNAS2	4.834226918	11.46541768	11.96589137	12.83016738	2.006072899	9.982940005	10.95722097	3.759186026	11.71016173	3.347297238	5.008514992	11.1799025
RL26	10.67282574	8.571536387	12.19186437	10.74329893	7.472812499	1.307677104	4.032201252	1.307677104	4.20769823	11.45159908	11.18471809	10.56259961
EF1A2	11.60180247	11.49605319	3.482625525	4.362496858	7.747600047	12.6320601	11.3885251	2.828232304	12.12966167	11.89560552	3.339115988	11.73233897
ODPB	9.929953714	10.03866723	2.093538931	7.087834629	1.307677104	9.90222928	9.027318441	2.828232304	13.77046807	9.915429323	5.162604095	2.740933516
EIF1	2.300774891	10.37992044	9.091388361	12.20628252	12.3935719	10.4126372	10.56438291	13.26438651	1.307677104	12.74571083	12.77300099	12.70040364
RL39	11.05802679	7.691460643	12.46839389	11.01518156	6.557734997	1.307677104	2.466074274	3.039919248	6.575509919	11.36498328	11.77817745	11.36382604
PRDX1	13.54856678	13.17062191	14.2925742	11.69182778	12.29155727	11.59480505	4.588379028	12.32495437	3.750908681	12.17799914	3.541351041	13.26759832
NDUS2	11.13791583	10.95153869	4.507780409	12.44326111	11.42003054	10.89970523	2.13748346	12.07681101	2.883909261	11.25401962	12.51427049	4.744828434
HOP	3.771056358	12.3069457	12.35582965	11.99374993	3.170297345	13.24354477	12.40162967	6.574501521	11.68180365	6.5435919	6.140555483	14.76282146
K2C5	4.80279714	10.0282243	3.672606353	11.46885823	4.886918645	10.00215077	1.307677104	9.112405507	2.883909261	3.014006449	4.075379218	13.62949026
GBB2	3.087464836	2.832942904	10.85813103	9.374212973	7.98507203	1.307677104	8.736958391	12.12984241	1.307677104	9.446212408	3.87160932	10.81977883
LDHA	9.211863664	10.28574365	12.7941663	2.096146189	9.846455706	12.0570558	13.28250369	4.5717876	3.050922541	12.29109918	12.19966004	12.57062857
VGA	1.307677104	1.307677104	1.307677104	15.21304365	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104
ACADM	12.06972088	6.177555363	6.987132288	11.77717886	8.423250464	1.307677104	12.59775282	2.828232304	12.68786412	9.39508957	3.098691955	8.975249153
TALDO	3.087464836	9.582292056	3.9149904	11.43212981	12.09060495	11.29147774	1.307677104	3.219779621	2.124622121	8.201727796	3.541351041	4.791988699
APRV1	11.98910137	12.21854467	13.42850323	1.307677104	12.97819779	12.67388441	10.34010068	2.828232304	7.824363091	11.75508599	11.02947297	12.04323982
MEGF9	6.384892159	9.922800654	5.458099449	4.062790101	11.38472086	10.77910685	10.24222837	11.0241669	10.94425732	1.307677104	2.958179789	1.307677104
K2M3	1.307677104	8.752451674	8.728842225	11.00404315	6.483325927	6.167794137	1.307677104	8.314638231	12.53296806	1.307677104	1.307677104	5.960852271
CALL3	9.972621813	9.810281033	2.638077196	11.01306658	10.10153502	9.981801954	9.407696133	3.643610544	3.750908681	1.307677104	1.307677104	10.67602686
CYTB	2.512782145	5.58687586	10.10963693	14.15231799	9.130252636	2.67468824	2.709086655	5.039805034	2.448549528	2.197285084	3.796326033	10.01079689
DPCA2	9.775853425	9.830856585	10.80812272	10.80633265	1.307677104	10.27168306	1.307677104	2.828232304	11.73659521	9.556413203	10.53170788	11.25119171
RL19	12.17680991	11.34562887	12.38150079	12.118755	11.32010244	11.77609086	9.722863193	3.643610544	2.448549528	11.24596336	5.89980641	2.740933516
RM49	1.307677104	1.307677104	6.87125711	1.307677104	4.234328732	6.290651505	7.209558495	13.02525002	1.307677104	5.738987206	10.64529816	1.307677104
RL27A	1.307677104	10.77104142	12.7143155	9.669696444	6.187678693	10.73453247	3.871190418	14.09640749	4.867737135	11.7728172	12.20496338	9.729255326
SODM	10.16273581	11.0503182	10.93392781	10.87839239	9.630898257	1.307677104	3.224321626	13.27524611	11.37280046	11.36710716	2.612130331	8.870198236
ELAF	2.01669322	12.85386339	12.63986039	11.18307834	11.96239215	8.126317352	11.27843118	3.219779621	10.03620501	10.43199577	2.958179789	11.39303432
RL15	2.300774891	9.806619394	12.35707236	3.137922601	2.286167449	11.17033251	9.222911933	2.211898723	2.883909261	2.547311507	3.339115988	2.942653335
DYHC1	10.77580381	1.307677104	9.39546554	2.642303456	10.46792285	10.92242346	10.57556745	3.376987041	2.688353455	6.280400014	2.958179789	2.157288903
MAL2	9.148143521	9.209694156	11.80400686	1.307677104	10.73453228	12.78130032	10.41227924	5.125787658	4.389731926	5.041618297	1.307677104	9.776532604
ADT3	12.40586369	7.443639832	14.19773027	11.82859408	11.85268376	12.65455289	8.485741692	12.07075904	3.556653711	1.307677104	11.46186095	11.900156
RL3	3.63066857	11.55106893	13.35639171	13.12714829	3.360272071	11.03093946	11.23374484	14.5575774	9.727671224	11.58166428	3.87160932	8.327605795
RS11	6.525375456	10.76602229	12.34459685	11.80403324	1.307677104	10.43941353	10.51544211	12.16150961	3.197562257	3.831347969	12.28539176	8.009199753
COX41	12.12060734	9.590832905	5.955785556	2.096146189	3.525696198	4.714920026	11.35507246	4.5717876	3.197562257	11.42737776	12.35244095	10.67134429
TFF3	1.307677104	1.307677104	2.827627227	1.307677104	1.307677104	1.307677104	2.466074274	3.219779621	2.688353455	9.7975413	13.69585135	2.157288903
PDIA3	10.1496245	10.37498397	2.989807412	6.703023668	11.1363162	10.30664376	7.681328842	3.219779621	11.69640679	11.20736586	2.384258549	1.307677104
TPM2	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	1.307677104	14.98540736	1.307677104
ACTBM	9.105642506	1.307677104	1.307677104	9.36263174	2.006072899	1.307677104	9.769526014	6.543738772	6.02638285	10.60753599	1.307677104	1.307677104
POTEE	9.105642506	1.307677104	1.307677104	9.36263174	2.006072899	1.307677104	9.769526014	6.543738772	6.02638285	10.60753599	1.307677104	1.307677104
POTEI	9.105642506	1.307677104	1.307677104	9.36263174	2.006072899	1.307677104	9.769526014	6.543738772	6.02638285	10.60753599	1.307677104	1.307677104
POTEJ	9.105642506	1.307677104	1.307677104	9.36263174	2.006072899	1.307677104	9.769526014	6.543738772	6.02638285	10.60753599	1.307677104	1.307677104
