	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
sp|P63243|RACK1_BOVIN	10.09793125	5.404665599	11.95805977	2.473443487	1.443088467	12.26135547	11.19099965	13.66120976	13.87324837	1.443088467	12.56658425	11.23913863
sp|P63247|RACK1_CHICK	10.09793125	5.404665599	11.95805977	2.473443487	1.443088467	12.26135547	11.19099965	13.66120976	13.87324837	1.443088467	12.56658425	11.23913863
sp|P63244|RACK1_HUMAN	10.09793125	5.404665599	11.95805977	2.473443487	1.443088467	12.26135547	11.19099965	13.66120976	13.87324837	1.443088467	12.56658425	11.23913863
sp|P68040|RACK1_MOUSE	10.09793125	5.404665599	11.95805977	2.473443487	1.443088467	12.26135547	11.19099965	13.66120976	13.87324837	1.443088467	12.56658425	11.23913863
sp|P63246|RACK1_PIG	10.09793125	5.404665599	11.95805977	2.473443487	1.443088467	12.26135547	11.19099965	13.66120976	13.87324837	1.443088467	12.56658425	11.23913863
sp|P63245|RACK1_RAT	10.09793125	5.404665599	11.95805977	2.473443487	1.443088467	12.26135547	11.19099965	13.66120976	13.87324837	1.443088467	12.56658425	11.23913863
sp|Q6ZWV3|RL10_MOUSE	10.32874053	12.46786839	13.56802694	12.71180309	11.94089755	12.47072169	1.443088467	15.05126282	13.56186998	8.925523192	3.967099641	1.443088467
sp|A9CB60|RL10_PAPAN	10.32874053	12.46786839	13.56802694	12.71180309	11.94089755	12.47072169	1.443088467	15.05126282	13.56186998	8.925523192	3.967099641	1.443088467
sp|Q6PDV7|RL10_RAT	10.32874053	12.46786839	13.56802694	12.71180309	11.94089755	12.47072169	1.443088467	15.05126282	13.56186998	8.925523192	3.967099641	1.443088467
sp|Q29RW1|MYH4_RAT	5.530760063	1.443088467	15.16863551	2.692581597	2.098093497	1.443088467	2.784115954	3.160579214	9.880620262	11.74927055	1.443088467	10.34485786
sp|P32969|RL9_HUMAN	2.10643049	7.988470057	3.176433042	3.284392708	12.36024215	1.443088467	11.25396824	13.73757021	3.20273085	12.06457344	12.44998473	11.37233063
sp|P21926|CD9_HUMAN	1.443088467	6.142106512	12.70616214	2.692581597	12.11769811	11.75067721	10.8709463	1.443088467	1.443088467	10.77864614	10.10614137	12.6286694
sp|P62424|RL7A_HUMAN	11.8335128	2.707543684	13.20311394	4.581235892	11.20016508	12.59598141	1.443088467	2.995590903	3.064207824	11.88092183	3.219423082	11.80564075
sp|Q4R5C2|RL7A_MACFA	11.8335128	2.707543684	13.20311394	4.581235892	11.20016508	12.59598141	1.443088467	2.995590903	3.064207824	11.88092183	3.219423082	11.80564075
sp|P62425|RL7A_RAT	11.8335128	2.707543684	13.20311394	4.581235892	11.20016508	12.59598141	1.443088467	2.995590903	3.064207824	11.88092183	3.219423082	11.80564075
sp|Q9Z2K1|K1C16_MOUSE	9.576719746	1.443088467	13.42033868	9.174050056	12.14101518	1.443088467	2.235508479	2.566050219	3.064207824	13.50400714	8.277466009	10.4669865
sp|A7MB35|ODPA_BOVIN	12.27868573	9.581063529	12.08946978	12.05757019	1.443088467	1.443088467	1.443088467	4.487421055	3.54374406	7.862562919	11.6813853	12.9971747
sp|Q9Y287|ITM2B_HUMAN	2.10643049	11.67213298	12.11341497	3.162334097	6.051681604	1.443088467	10.19071614	12.91665429	12.90707052	10.76869876	1.443088467	11.34674684
sp|Q60HC1|ITM2B_MACFA	2.10643049	11.67213298	12.11341497	3.162334097	6.051681604	1.443088467	10.19071614	12.91665429	12.90707052	10.76869876	1.443088467	11.34674684
sp|A5A6H8|ITM2B_PANTR	2.10643049	11.67213298	12.11341497	3.162334097	6.051681604	1.443088467	10.19071614	12.91665429	12.90707052	10.76869876	1.443088467	11.34674684
sp|Q5R876|ITM2B_PONAB	2.10643049	11.67213298	12.11341497	3.162334097	6.051681604	1.443088467	10.19071614	12.91665429	12.90707052	10.76869876	1.443088467	11.34674684
sp|Q8HXP3|SODM_MACFA	10.10331223	1.443088467	10.90316454	10.81164892	1.443088467	1.443088467	1.443088467	13.06137851	7.585616065	1.443088467	1.443088467	8.996500494
sp|P50117|S10A9_RABIT	1.443088467	2.889052553	7.98271584	14.04308039	14.15228082	2.185746503	2.550492191	1.443088467	2.198175254	1.443088467	2.434103142	2.526492849
